epoch 0   	 loss = 0.126 	 time = 23.9 sec
epoch 1   	 loss = 0.120 	 time = 23.7 sec
epoch 2   	 loss = 0.113 	 time = 23.5 sec
epoch 3   	 loss = 0.105 	 time = 23.6 sec
epoch 4   	 loss = 0.095 	 time = 23.4 sec
epoch 5   	 loss = 0.088 	 time = 23.4 sec
epoch 6   	 loss = 0.082 	 time = 23.7 sec
epoch 7   	 loss = 0.080 	 time = 23.7 sec
epoch 8   	 loss = 0.079 	 time = 23.2 sec
epoch 9   	 loss = 0.077 	 time = 23.3 sec
epoch 10  	 loss = 0.074 	 time = 23.7 sec
epoch 11  	 loss = 0.073 	 time = 23.4 sec
epoch 12  	 loss = 0.073 	 time = 23.5 sec
epoch 13  	 loss = 0.071 	 time = 24.2 sec
epoch 14  	 loss = 0.070 	 time = 23.6 sec
epoch 15  	 loss = 0.068 	 time = 23.4 sec
epoch 16  	 loss = 0.068 	 time = 23.3 sec
epoch 17  	 loss = 0.066 	 time = 23.6 sec
epoch 18  	 loss = 0.066 	 time = 23.7 sec
epoch 19  	 loss = 0.066 	 time = 24.4 sec
epoch 20  	 loss = 0.065 	 time = 24.2 sec
epoch 21  	 loss = 0.065 	 time = 24.1 sec
epoch 22  	 loss = 0.064 	 time = 24.3 sec
epoch 23  	 loss = 0.063 	 time = 23.9 sec
epoch 24  	 loss = 0.062 	 time = 24.9 sec
epoch 25  	 loss = 0.063 	 time = 25.0 sec
epoch 26  	 loss = 0.061 	 time = 23.6 sec
epoch 27  	 loss = 0.060 	 time = 24.1 sec
epoch 28  	 loss = 0.060 	 time = 24.4 sec
epoch 29  	 loss = 0.059 	 time = 23.9 sec
epoch 30  	 loss = 0.059 	 time = 24.5 sec
epoch 31  	 loss = 0.059 	 time = 23.7 sec
epoch 32  	 loss = 0.059 	 time = 23.6 sec
epoch 33  	 loss = 0.056 	 time = 23.7 sec
epoch 34  	 loss = 0.057 	 time = 23.6 sec
epoch 35  	 loss = 0.056 	 time = 23.4 sec
epoch 36  	 loss = 0.058 	 time = 23.8 sec
epoch 37  	 loss = 0.055 	 time = 23.4 sec
epoch 38  	 loss = 0.055 	 time = 23.1 sec
epoch 39  	 loss = 0.055 	 time = 23.5 sec
epoch 40  	 loss = 0.056 	 time = 23.7 sec
epoch 41  	 loss = 0.055 	 time = 23.6 sec
epoch 42  	 loss = 0.055 	 time = 23.9 sec
epoch 43  	 loss = 0.054 	 time = 24.0 sec
epoch 44  	 loss = 0.054 	 time = 23.8 sec
epoch 45  	 loss = 0.055 	 time = 23.7 sec
epoch 46  	 loss = 0.053 	 time = 23.4 sec
epoch 47  	 loss = 0.053 	 time = 24.2 sec
epoch 48  	 loss = 0.051 	 time = 26.3 sec
epoch 49  	 loss = 0.051 	 time = 26.9 sec
