Actor Loss,Critic Loss,Velocities
100,100,2.705066470815517
100,100,1.0816180650696208
100,100,2.0086378451713194
100,100,2.3650841924691086
100,100,3.099383184383274
100,100,3.6283969386341344
100,100,4.330241645400369
100,100,4.901072944990272
100,100,5.71068936088886
100,100,6.477198301150413
100,100,7.272586177880037
100,100,7.789091240861458
100,100,8.39784147163105
100,100,8.99878473099648
100,100,9.107978803914397
100,100,9.342314344184626
100,100,10.016190829025916
100,100,10.526230227713109
100,100,10.94461283054325
100,100,11.179035072583307
100,100,11.515550445443884
100,100,11.887118856172412
100,100,12.005729413877003
100,100,12.182245126254243
100,100,12.267094721617587
100,100,12.399610541541966
100,100,12.622313656956823
100,100,12.96972067001824
100,100,13.383291781411673
100,100,13.83679940048588
100,100,14.466244911434163
-0.029380139,2.636591,14.40746827629382
-0.19808428,2.529665,14.434309106435625
-0.90012044,2.1586215,14.58709534961593
-4.246339,0.68887824,14.721217345082419
-1.578258,7.6299996,14.735949476667056
-0.69378924,0.31132323,14.87747297579548
-0.3680614,1.0270516,15.168146110893984
-0.22587985,1.8868831,14.936681237898624
-0.15588182,2.5205078,15.283875924268218
-0.116960004,2.322306,15.579987953589207
-0.09524508,2.6623898,15.554973043025024
-0.08315734,2.9771771,15.705077480449859
-0.07750288,2.8096466,15.943838600390968
-0.07719933,3.0781517,16.204908123416963
-0.08270694,3.286599,16.64142607380473
-0.09402928,3.2463799,16.750894410175334
-0.11510321,3.2469249,17.059694790079096
-0.15172184,3.184351,17.130925990387222
-0.21583915,3.2930672,17.377841232151255
-0.32996374,3.184418,17.51489554577052
-0.5317433,3.0032396,17.508166534702138
-0.9274437,2.177822,17.829753978129936
-1.7555125,1.1581881,17.813616385106805
-3.376731,0.33119395,17.69554186143995
-2.5734715,2.2569675,17.602391158148095
-1.7360237,0.6878438,17.950223349884777
-1.2758315,0.36587343,17.805881079669614
-1.0820701,0.96527237,18.17136455623624
-1.0457678,1.2485677,18.338310450160943
-1.1231118,1.3499436,18.448067707828248
-1.3306742,1.1733768,18.226877527114425
-1.6520597,0.73352414,18.234055017463135
-2.1141331,0.39036337,17.96937149540553
