Times
489
514
656
569
543
617
529
442
494
540
522
511
526
494
506
507
490
443
527
475
467
464
525
486
501
442
468
464
491
486
510
517
452
492
479
465
464
446
478
499
491
482
496
477
529
455
505
488
477
476
465
528
495
438
441
502
443
465
492
440
517
469
493
459
490
517
462
513
518
439
463
511
505
522
490
490
483
467
481
522
442
494
442
527
512
504
521
470
439
463
485
474
542
488
484
475
480
526
469
579
