Actor Loss,Critic Loss
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
0.19228059,0.92053246
0.14048848,0.89319336
-0.04057271,0.8539889
-0.66574454,0.6126945
-2.5379837,0.21707979
-0.95448756,3.6494641
-0.33222193,0.23319736
-0.09021568,0.3519854
0.01876517,0.6341294
0.07190066,0.79983675
0.101675,0.9760328
0.119690955,1.0002573
0.12981994,0.944433
0.13211527,1.0078353
0.13360657,0.9559348
0.13018993,1.2846876
0.12027816,1.1880177
0.10602003,1.0620878
0.079514906,1.125688
0.03327424,1.0598583
-0.050415717,1.0474718
-0.20726128,0.90002275
-0.5234256,0.55581826
-1.1964666,0.29708466
-1.3430872,0.29627335
-1.037461,0.3728122
-0.8234672,0.13003099
-0.72699225,0.20191893
-0.7416177,0.23790915
-0.84572816,0.26340374
-1.0153189,0.21542367
-1.2272156,0.1752347
-1.2056731,0.2223945
-1.0156821,0.20837377
-0.8617563,0.14423749
-0.80793583,0.1716288
-0.8257078,0.17733547
-0.9556123,0.19283539
-1.1762781,0.11112584
-1.2915158,0.1885319
-1.221134,0.17406324
-1.1300526,0.1025344
-1.0233477,0.14746515
-0.9242523,0.14196447
-0.87683356,0.16833654
-0.943735,0.11191499
-1.0532345,0.14477573
-1.1805217,0.14131427
-1.2523386,0.13273942
-1.2417234,0.11871257
-1.1297824,0.12990342
-0.9964833,0.07659273
-0.9651046,0.1146823
-1.044817,0.13677372
-1.1780267,0.117986985
-1.2395349,0.06221264
-1.2659762,0.10320588
-1.1418109,0.10381093
-1.0369804,0.049262762
-1.0066282,0.0645456
-1.0764965,0.12572032
-1.2515451,0.15133467
-1.4458232,0.052125227
-1.3328593,0.113978006
-1.0159442,0.12815614
-0.92066425,0.3595378
-0.97154206,0.12982215
-1.120218,0.093495354
-1.3790112,0.23574357
-1.5656917,0.057453033
-1.4362166,0.34219563
-1.1376216,0.11297894
-0.97682416,0.31862026
-0.92908186,0.08277828
-0.9921336,0.14842528
-1.1182858,0.0797554
-1.2876754,0.14425932
-1.3620254,0.045921862
-1.3151872,0.18920921
-1.1800363,0.057978906
-1.02212,0.08578583
-1.0219479,0.25525394
-1.0741717,0.098024175
-1.2151675,0.13223916
-1.4262674,0.1485376
-1.564321,0.20308773
-1.2790219,0.28801358
-0.9989134,0.07953325
-0.8661226,0.10065789
-0.9156642,0.40092576
-1.1328812,0.41757256
-1.4519858,0.12528755
-1.6745946,0.14360458
-1.5237384,0.36839947
-1.1892054,0.23398174
-1.0598707,0.2699064
-1.0911579,0.25236592
-1.2097962,0.12839085
-1.3736508,0.1576532
-1.4823011,0.120991
-1.3442037,0.14347157
-1.1867647,0.053921707
-1.1274921,0.23317975
-1.0979972,0.089971006
-1.1687933,0.17815998
-1.288132,0.22216183
-1.2928085,0.10985346
-1.275794,0.18977326
-1.25122,0.063729405
-1.3161213,0.11733934
-1.3394384,0.07885855
-1.3212924,0.19983122
-1.278164,0.20107004
-1.2055801,0.058609728
-1.2186972,0.059962746
-1.1505542,0.108833104
-1.1582899,0.042586267
-1.1667778,0.08748565
-1.1796906,0.03767778
-1.205693,0.053903885
-1.3023854,0.092609204
-1.2437081,0.0942571
-1.2422811,0.043945625
-1.1753948,0.09841481
-1.1653476,0.052212026
-1.2094585,0.22145131
-1.3081429,0.22188044
-1.2749925,0.088027
-1.2305272,0.08739772
-1.2027531,0.11406194
-1.2706089,0.2278203
-1.3626137,0.20990616
-1.3500249,0.050054453
-1.3262316,0.044662468
-1.265516,0.07411873
-1.2847648,0.17508155
-1.2570026,0.04199455
-1.2209488,0.04725007
-1.2276603,0.055445023
-1.2197838,0.023034588
-1.1639227,0.052642103
-1.2011775,0.05291768
-1.2897053,0.030564502
-1.3091207,0.048673823
-1.2701625,0.07138872
-1.2286055,0.04648704
-1.2309021,0.07207741
-1.2825718,0.10001516
-1.2962129,0.08437194
-1.3577356,0.18919244
-1.3253672,0.13613637
-1.2304152,0.05478554
-1.1353252,0.064929724
-1.2974073,0.27194867
-1.3893623,0.0744794
-1.3042417,0.104069225
-1.248188,0.21661699
-1.1398408,0.06482872
-1.1849557,0.13140698
-1.2764345,0.077978596
-1.389591,0.19604936
-1.461277,0.19320726
-1.4196956,0.18944168
-1.2087055,0.03946704
-1.0486132,0.035604097
-1.2597194,0.37813258
-1.4356072,0.07378882
-1.5112262,0.09572729
-1.4723084,0.19683859
-1.425223,0.17848408
-1.2583361,0.08001869
-1.0927408,0.04037697
-1.0839462,0.07839962
-1.1666756,0.07037898
-1.319325,0.050299503
-1.4355234,0.09955233
-1.4610162,0.055169016
-1.3276993,0.11152837
-1.2102313,0.052689154
-1.1960093,0.060262613
-1.2581902,0.04936744
-1.4102454,0.18155874
-1.4678795,0.08923648
-1.4425344,0.06890489
-1.4425533,0.111809745
-1.2662514,0.10139637
-1.2241291,0.0878804
-1.2458653,0.10072164
-1.2566583,0.08234291
-1.3868873,0.07360049
-1.4549367,0.08843324
-1.3496783,0.08110477
-1.2015042,0.16348016
-1.5223656,0.18061155
-1.40892,0.12306058
-1.2344244,0.1186534
-1.1280956,0.07236326
-1.2391222,0.17202842
-1.3846998,0.13263024
-1.5880325,0.0941435
-1.4194868,0.21265537
-1.1967168,0.11866669
-1.1631589,0.2175102
-1.2310681,0.10337111
-1.3977377,0.14128143
-1.4547827,0.047000237
-1.5267563,0.22846335
-1.3656135,0.1349746
-1.1461475,0.21456578
-1.2551824,0.07826418
-1.2647866,0.07340519
-1.3541317,0.12818366
-1.6232057,0.21763256
-1.3866765,0.17351449
-1.0783921,0.090468705
-1.153333,0.14961569
-1.1355009,0.13524613
-1.5121377,0.37617928
-1.5537828,0.1608319
-1.3543413,0.24293672
-1.2315159,0.07754589
-1.2510746,0.04528534
-1.2145717,0.13718748
-1.1986365,0.12084958
-1.5597984,0.14389342
-1.5260515,0.16607827
-1.3213534,0.07878873
-1.220587,0.1393472
-1.1575048,0.12601835
-1.2023541,0.07050903
-1.338444,0.09247647
-1.5078176,0.180832
-1.8347882,0.25299865
-1.5155652,0.42968667
-1.1852698,0.21528235
-0.92126626,0.13690971
-1.0393791,0.39801764
-1.208339,0.20090497
-1.6141144,0.256577
-1.6830871,0.19934139
-1.4813241,0.28210717
-1.2861748,0.10434296
-1.1388092,0.0561694
-1.1287479,0.15051079
-1.2027848,0.15202811
-1.4541981,0.06694354
-1.6307235,0.08344877
-1.5626228,0.11231774
-1.29017,0.102128774
-1.192211,0.13696672
-1.1312896,0.15484436
-1.2278415,0.1257869
-1.4378312,0.15394765
-1.5550193,0.06496024
-1.5675083,0.08393558
-1.4542835,0.17658001
-1.2457578,0.07928003
-1.2140317,0.2031767
-1.2153182,0.075962335
-1.4176879,0.11694232
-1.6332957,0.2408387
-1.6263978,0.19201942
-1.4663358,0.10229401
-1.1944147,0.10623044
-1.0090222,0.07832958
-1.0779135,0.26148242
-1.2503641,0.30819148
-1.6436768,0.085972495
-1.7170441,0.1212937
-1.4685662,0.17679805
-1.2503352,0.12340139
-1.2965112,0.44295883
-1.3263013,0.11527486
-1.6002,0.2937379
-1.7029773,0.102937736
-1.6454883,0.22681606
-1.43431,0.09059632
-1.1749794,0.049854517
-1.1399041,0.05727511
-1.1755731,0.12217303
-1.4738152,0.19996867
-1.6334,0.059906878
-1.6836337,0.09749032
-1.5504174,0.13044374
-1.4476584,0.22322753
-1.3740038,0.10294174
-1.2168508,0.08648376
-1.2635393,0.10970433
-1.3072612,0.15484712
-1.607289,0.06295933
-1.8732923,0.124549374
-1.6098232,0.26037037
-1.316133,0.1142575
-1.3210725,0.12951514
-1.367679,0.2860275
-1.5424079,0.09193603
-1.7372172,0.1866085
-1.693029,0.1311853
-1.365072,0.13288334
-1.2168981,0.08357081
-1.2467831,0.085323244
-1.3451614,0.08853322
-1.4542503,0.1391908
-1.7663422,0.09998538
-1.6403995,0.16461208
-1.334233,0.04101263
-1.2351526,0.10429412
-1.2161976,0.14271794
-1.4218719,0.17311954
-1.7493231,0.06618687
-1.8231945,0.06599475
-1.6882583,0.16674525
-1.4704869,0.20784353
-1.2762055,0.25770378
-1.3350246,0.13332924
-1.5081197,0.14825939
-1.614917,0.05254998
-1.7291597,0.1902273
-1.7321829,0.27830663
-1.6087265,0.16747269
-1.4831693,0.067999266
-1.3618112,0.19231582
-1.2974906,0.25633553
-1.5910621,0.091361545
-1.6728442,0.046872895
-1.5805082,0.12661244
-1.636209,0.1401893
-1.4994695,0.12686141
-1.5302823,0.28589487
-1.6092579,0.14459515
-1.8078547,0.30315053
-1.7222424,0.15037473
-1.6214359,0.28685987
-1.5000553,0.053774215
-1.4884402,0.10675503
-1.5609995,0.12971812
-1.5831329,0.120721124
-1.7892379,0.116703555
-1.6963534,0.100928985
-1.613279,0.13205348
-1.6990056,0.18061127
-1.6599417,0.03621048
-1.7162609,0.25612503
-1.6405218,0.08171687
-1.673084,0.39813128
-1.6764865,0.13084777
-1.697732,0.110496216
-1.5988308,0.082425
-1.6079271,0.18989515
-1.4913733,0.035318483
-1.645104,0.080255635
-1.6967958,0.08973391
-1.7545173,0.12057774
-1.7570658,0.12992384
-1.6569483,0.07475762
-1.4206347,0.075965226
-1.4478679,0.057603378
-1.5165031,0.118272096
-1.7944832,0.1625176
-1.9417635,0.1440918
-1.7826256,0.19554538
-1.4084613,0.0725579
-1.4176908,0.21432565
-1.5617565,0.20049688
-1.7686224,0.24974962
-1.8620543,0.16291218
-1.6649883,0.17201896
-1.5964315,0.18281418
