epoch 114 	 loss = 0.008 	 time = 15.5 sec
epoch 115 	 loss = 0.008 	 time = 14.9 sec
epoch 116 	 loss = 0.007 	 time = 14.8 sec
epoch 117 	 loss = 0.008 	 time = 15.3 sec
epoch 118 	 loss = 0.007 	 time = 15.1 sec
epoch 119 	 loss = 0.007 	 time = 15.1 sec
epoch 120 	 loss = 0.007 	 time = 15.5 sec
epoch 121 	 loss = 0.007 	 time = 15.3 sec
epoch 122 	 loss = 0.007 	 time = 14.6 sec
epoch 123 	 loss = 0.007 	 time = 15.3 sec
epoch 124 	 loss = 0.007 	 time = 14.9 sec
epoch 125 	 loss = 0.007 	 time = 15.0 sec
epoch 126 	 loss = 0.007 	 time = 15.1 sec
epoch 127 	 loss = 0.007 	 time = 15.0 sec
epoch 128 	 loss = 0.007 	 time = 15.2 sec
epoch 129 	 loss = 0.006 	 time = 14.9 sec
epoch 130 	 loss = 0.006 	 time = 15.2 sec
epoch 131 	 loss = 0.006 	 time = 14.8 sec
epoch 132 	 loss = 0.006 	 time = 14.6 sec
epoch 133 	 loss = 0.006 	 time = 15.0 sec
epoch 134 	 loss = 0.006 	 time = 15.5 sec
epoch 135 	 loss = 0.006 	 time = 15.0 sec
epoch 136 	 loss = 0.006 	 time = 14.6 sec
epoch 137 	 loss = 0.006 	 time = 15.0 sec
epoch 138 	 loss = 0.006 	 time = 15.1 sec
epoch 139 	 loss = 0.006 	 time = 14.6 sec
epoch 140 	 loss = 0.006 	 time = 14.9 sec
epoch 141 	 loss = 0.006 	 time = 15.2 sec
epoch 142 	 loss = 0.005 	 time = 15.1 sec
epoch 143 	 loss = 0.005 	 time = 15.0 sec
epoch 144 	 loss = 0.005 	 time = 14.6 sec
epoch 145 	 loss = 0.005 	 time = 14.0 sec
epoch 146 	 loss = 0.005 	 time = 14.9 sec
epoch 147 	 loss = 0.005 	 time = 15.1 sec
epoch 148 	 loss = 0.005 	 time = 15.0 sec
epoch 149 	 loss = 0.005 	 time = 15.3 sec
