epoch 0   	 loss = 0.185 	 time = 29.1 sec
epoch 1   	 loss = 0.175 	 time = 28.1 sec
epoch 2   	 loss = 0.161 	 time = 28.0 sec
epoch 3   	 loss = 0.159 	 time = 27.3 sec
epoch 4   	 loss = 0.152 	 time = 27.8 sec
epoch 5   	 loss = 0.156 	 time = 27.9 sec
epoch 6   	 loss = 0.153 	 time = 27.9 sec
epoch 7   	 loss = 0.146 	 time = 27.9 sec
epoch 8   	 loss = 0.147 	 time = 27.7 sec
epoch 9   	 loss = 0.149 	 time = 28.6 sec
epoch 10  	 loss = 0.147 	 time = 29.2 sec
epoch 11  	 loss = 0.143 	 time = 28.1 sec
epoch 12  	 loss = 0.145 	 time = 27.8 sec
epoch 13  	 loss = 0.150 	 time = 27.9 sec
epoch 14  	 loss = 0.145 	 time = 28.0 sec
epoch 15  	 loss = 0.145 	 time = 27.5 sec
epoch 16  	 loss = 0.145 	 time = 27.6 sec
epoch 17  	 loss = 0.141 	 time = 27.7 sec
epoch 18  	 loss = 0.145 	 time = 28.5 sec
epoch 19  	 loss = 0.140 	 time = 29.1 sec
epoch 20  	 loss = 0.146 	 time = 28.9 sec
epoch 21  	 loss = 0.141 	 time = 28.4 sec
epoch 22  	 loss = 0.140 	 time = 28.2 sec
epoch 23  	 loss = 0.134 	 time = 28.6 sec
epoch 24  	 loss = 0.136 	 time = 28.6 sec
epoch 25  	 loss = 0.136 	 time = 28.1 sec
epoch 26  	 loss = 0.142 	 time = 27.9 sec
epoch 27  	 loss = 0.137 	 time = 28.2 sec
epoch 28  	 loss = 0.133 	 time = 28.0 sec
epoch 29  	 loss = 0.131 	 time = 28.2 sec
epoch 30  	 loss = 0.127 	 time = 28.1 sec
epoch 31  	 loss = 0.124 	 time = 28.6 sec
epoch 32  	 loss = 0.113 	 time = 28.0 sec
epoch 33  	 loss = 0.100 	 time = 27.9 sec
epoch 34  	 loss = 0.101 	 time = 28.0 sec
epoch 35  	 loss = 0.100 	 time = 27.6 sec
epoch 36  	 loss = 0.095 	 time = 28.0 sec
epoch 37  	 loss = 0.093 	 time = 27.8 sec
epoch 38  	 loss = 0.092 	 time = 27.7 sec
epoch 39  	 loss = 0.091 	 time = 28.3 sec
epoch 40  	 loss = 0.088 	 time = 28.0 sec
epoch 41  	 loss = 0.086 	 time = 28.3 sec
epoch 42  	 loss = 0.086 	 time = 28.5 sec
epoch 43  	 loss = 0.085 	 time = 28.0 sec
epoch 44  	 loss = 0.083 	 time = 27.9 sec
epoch 45  	 loss = 0.083 	 time = 28.5 sec
epoch 46  	 loss = 0.080 	 time = 28.0 sec
epoch 47  	 loss = 0.081 	 time = 28.0 sec
epoch 48  	 loss = 0.079 	 time = 27.6 sec
epoch 49  	 loss = 0.078 	 time = 27.9 sec
