epoch 0   	 loss = 0.158 	 time = 25.5 sec
epoch 1   	 loss = 0.154 	 time = 25.9 sec
epoch 2   	 loss = 0.152 	 time = 25.6 sec
epoch 3   	 loss = 0.151 	 time = 25.8 sec
epoch 4   	 loss = 0.150 	 time = 26.0 sec
epoch 5   	 loss = 0.150 	 time = 25.9 sec
epoch 6   	 loss = 0.149 	 time = 25.9 sec
epoch 7   	 loss = 0.149 	 time = 25.7 sec
epoch 8   	 loss = 0.149 	 time = 26.3 sec
epoch 9   	 loss = 0.148 	 time = 25.5 sec
epoch 10  	 loss = 0.148 	 time = 25.9 sec
epoch 11  	 loss = 0.147 	 time = 26.1 sec
epoch 12  	 loss = 0.147 	 time = 25.6 sec
epoch 13  	 loss = 0.146 	 time = 25.5 sec
epoch 14  	 loss = 0.146 	 time = 25.8 sec
epoch 15  	 loss = 0.144 	 time = 25.3 sec
epoch 16  	 loss = 0.143 	 time = 25.7 sec
epoch 17  	 loss = 0.141 	 time = 25.8 sec
epoch 18  	 loss = 0.140 	 time = 25.9 sec
epoch 19  	 loss = 0.138 	 time = 25.9 sec
epoch 20  	 loss = 0.136 	 time = 27.1 sec
epoch 21  	 loss = 0.134 	 time = 27.3 sec
epoch 22  	 loss = 0.134 	 time = 26.0 sec
epoch 23  	 loss = 0.133 	 time = 25.6 sec
epoch 24  	 loss = 0.131 	 time = 25.9 sec
epoch 25  	 loss = 0.130 	 time = 26.1 sec
epoch 26  	 loss = 0.129 	 time = 25.4 sec
epoch 27  	 loss = 0.129 	 time = 25.2 sec
epoch 28  	 loss = 0.128 	 time = 25.5 sec
epoch 29  	 loss = 0.127 	 time = 26.2 sec
epoch 30  	 loss = 0.127 	 time = 26.1 sec
epoch 31  	 loss = 0.125 	 time = 25.6 sec
epoch 32  	 loss = 0.126 	 time = 25.6 sec
epoch 33  	 loss = 0.125 	 time = 25.9 sec
epoch 34  	 loss = 0.123 	 time = 25.6 sec
epoch 35  	 loss = 0.124 	 time = 26.0 sec
epoch 36  	 loss = 0.123 	 time = 25.7 sec
epoch 37  	 loss = 0.121 	 time = 25.3 sec
epoch 38  	 loss = 0.122 	 time = 25.9 sec
epoch 39  	 loss = 0.120 	 time = 25.7 sec
epoch 40  	 loss = 0.121 	 time = 26.0 sec
epoch 41  	 loss = 0.120 	 time = 25.4 sec
epoch 42  	 loss = 0.119 	 time = 25.7 sec
epoch 43  	 loss = 0.119 	 time = 25.6 sec
epoch 44  	 loss = 0.118 	 time = 25.3 sec
epoch 45  	 loss = 0.117 	 time = 26.0 sec
epoch 46  	 loss = 0.118 	 time = 26.0 sec
epoch 47  	 loss = 0.117 	 time = 25.7 sec
epoch 48  	 loss = 0.118 	 time = 25.6 sec
epoch 49  	 loss = 0.116 	 time = 25.8 sec
